stID;Time;Temperature;Humidity
B4:E6:2D:48:03:41;28.02.2026 19:26:41;21.4;40.2
B4:E6:2D:48:03:41;28.02.2026 19:26:43;21.7;40.0
B4:E6:2D:48:03:41;28.02.2026 19:26:47;21.8;39.8
B4:E6:2D:48:03:41;28.02.2026 19:26:48;21.8;39.8
B4:E6:2D:48:03:41;28.02.2026 19:26:49;22.0;39.5
B4:E6:2D:48:03:41;28.02.2026 19:26:50;22.0;39.5
B4:E6:2D:48:03:41;28.02.2026 19:26:51;22.1;39.3
B4:E6:2D:48:03:41;28.02.2026 19:26:53;22.1;39.3
B4:E6:2D:48:03:41;28.02.2026 19:26:54;22.1;39.1
B4:E6:2D:48:03:41;28.02.2026 19:26:56;22.1;39.1
B4:E6:2D:48:03:41;28.02.2026 19:26:57;22.2;39.0
B4:E6:2D:48:03:41;28.02.2026 19:26:58;22.2;39.0
B4:E6:2D:48:03:41;28.02.2026 19:26:59;22.3;38.7
B4:E6:2D:48:03:41;28.02.2026 19:27:01;22.3;38.7
B4:E6:2D:48:03:41;28.02.2026 19:27:02;22.4;38.6
B4:E6:2D:48:03:41;28.02.2026 19:27:03;22.4;38.6
B4:E6:2D:48:03:41;28.02.2026 19:27:04;22.5;38.4
B4:E6:2D:48:03:41;28.02.2026 19:27:05;22.5;38.4
B4:E6:2D:48:03:41;28.02.2026 19:27:07;22.5;38.2
B4:E6:2D:48:03:41;28.02.2026 19:27:08;22.5;38.2
B4:E6:2D:48:03:41;28.02.2026 19:27:09;22.6;38.0
B4:E6:2D:48:03:41;28.02.2026 19:27:10;22.6;38.0
B4:E6:2D:48:03:41;28.02.2026 19:27:12;22.7;37.9
B4:E6:2D:48:03:41;28.02.2026 19:27:13;22.7;37.9
B4:E6:2D:48:03:41;28.02.2026 19:27:14;22.8;37.8
B4:E6:2D:48:03:41;28.02.2026 19:27:15;22.8;37.8
B4:E6:2D:48:03:41;28.02.2026 19:27:17;22.8;37.7
B4:E6:2D:48:03:41;28.02.2026 19:27:18;22.8;37.7
B4:E6:2D:48:03:41;28.02.2026 19:27:20;22.9;37.5
B4:E6:2D:48:03:41;28.02.2026 19:27:21;22.9;37.5
B4:E6:2D:48:03:41;28.02.2026 19:27:22;22.9;37.3
B4:E6:2D:48:03:41;28.02.2026 19:27:23;22.9;37.3
B4:E6:2D:48:03:41;28.02.2026 19:27:24;23.0;37.1
B4:E6:2D:48:03:41;28.02.2026 19:27:26;23.0;37.1
B4:E6:2D:48:03:41;28.02.2026 19:27:27;23.0;37.0
B4:E6:2D:48:03:41;28.02.2026 19:27:28;23.0;37.0
B4:E6:2D:48:03:41;28.02.2026 19:27:29;23.1;36.9
B4:E6:2D:48:03:41;28.02.2026 19:27:31;23.1;36.9
B4:E6:2D:48:03:41;28.02.2026 19:27:32;23.1;36.7
B4:E6:2D:48:03:41;28.02.2026 19:27:33;23.1;36.7
B4:E6:2D:48:03:41;28.02.2026 19:27:34;23.1;36.6
